Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Armenia,ARM,"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.96762358,42.76238022,28.50126852,31.09599713,16.32725994,18.58950742,22.21293789,20.94678698,18.82444243,23.40720219,15.62319754,12.75137911,6.849208919,7.094770118,8.118893425,5.369587307,9.129784059,6.246525716,6.686281531,4.645953358,4.631265599,4.328778067,7.125284906,6.436040577,4.110244925,1.919215187,4.989955969,2.340442079,2.31045619,
American Samoa,ASM,"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,,,,,,,,,,,,,,,,,,12.22727299,7.258064324,4.069478873,4.050073638,6.018641786,3.121059148,2.717741843,1.266773964,1.351351373,1.525645674,1.613846468,2.66679908,1.125529523,1.186999968,1.78629601,1.112375627,0.706633632,0.918848134,0.481960867,0.774964377,0.862835253,1.90514563,1.920412524,1.769018092,1.618735561,2.578368243,0.967257784,0.292775617,1.085201214,0.367769119,0.493654488,0.589664411,0.552957253,2.724669774,2.230447818,0.278953993,0.205248978,0.255102957,0.155428483,0.017323154,0.969233136,1.424602938,2.123074524,3.338323478,0.574331124,
Australia,AUS,"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.152880119,5.33656174,8.627611524,4.860577454,8.66034141,5.822652009,9.096012293,9.935134527,5.757443163,2.524006293,2.430154077,1.878273213,1.45414182,1.317770911,1.570123701,1.088253144,1.333134573,1.257217343,-0.287345138,0.90405235,0.32016532,0.398745762,0.613063573,0.399570241,0.552842874,0.68402532,0.04722423,
Burundi,BDI,"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,52.97940124,65.76955638,60.95877633,65.36140781,76.241034,76.93273737,71.63290271,89.21512619,70.01531379,108.7864521,101.8241613,69.62473851,38.20116057,38.90766609,56.25624607,56.57254204,85.87892803,107.4645111,117.4216108,142.0860534,106.2948631,93.84219417,111.921031,85.39656267,107.0136713,101.4337591,72.41049208,55.57031842,60.35339118,54.52875841,43.1862176,98.52993404,48.49313175,49.2848784,,,,
Belgium,BEL,"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,,,,,,,,,,,,,,,17.34265079,20.16917902,18.61013717,14.77631448,16.1366137,21.77003744,20.62526542,11.95617688,11.75943916,19.72232358,17.04579435,19.88232162,24.46852854,21.07006187,31.91728119,66.02190947,54.2797953,29.43857667,34.76803275,37.40809178,39.16679739,30.306012,35.98341962,27.83126957,25.38456075,23.87285691,32.8407176,35.88628122,23.59981098,26.58208432,32.89128828,29.37807943,27.5450486,21.68980421,25.82114989,29.21718882,28.77850354,27.72004376,18.49502731,18.44656624,13.67487497,11.94403719,12.95922775,16.31292137,11.89677939,13.17724106,24.53897128,15.57070715,
Burkina Faso,BFA,"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.05741377,59.53060738,53.27514444,40.80767804,53.04699483,39.30899272,27.10513278,28.41495486,20.62860598,23.171351,23.38663095,22.20814891,17.08971322,20.17527946,19.26961623,31.00275911,22.38789106,
