Country,Year,GDPPC,GDP_Growth,GINI,Gov_Debt,Inflation,Life_Exp,Unemployment,Edu,PI
Afghanistan,1970,,,,,,37.418,,0.69,375
Albania,1970,,,,,,64.824,,4.28,0
Argentina,1970,9257.895572,3.045643319,,,,65.589,,6.31,17687
Australia,1970,26829.52862,7.175799265,,,3.439153439,71.01853659,,9.7,625
Austria,1970,18101.99195,6.321142632,,,4.372824416,69.91463415,,7.4,250
Burundi,1970,350.7127782,21.32567073,,,-0.199650611,43.041,,1.06,0
Belgium,1970,17849.49471,5.582858284,,,3.908472385,70.97195122,,7.66,250
Benin,1970,730.5233477,2.097757581,,,,42.189,,0.84,375
Bulgaria,1970,,,,,,71.25634146,,6.13,0
Bolivia,1970,1759.665165,5.231029301,,,3.955509211,46.597,,4.0,18000
Brazil,1970,3558.852333,10.4,,,,57.171,,3.29,7500
Barbados,1970,,,,,7.284216374,68.272,,8.31,0
Botswana,1970,782.9417105,17.12026767,,,,55.197,,2.14,0
Central African Republic,1970,574.0636177,2.332880877,,,,45.072,,0.82,0
Canada,1970,,,,,3.346039814,72.7004878,,9.14,6312
Switzerland,1970,,,,,3.615986786,73.0202439,,9.72,0
Chile,1970,4133.493945,1.82896697,,,,62.491,,6.09,11000
China,1970,283.5853563,19.3,,,,56.607,,3.82,812
Cameroon,1970,916.2852853,3.092068234,,,5.858085809,47.583,,1.81,0
Colombia,1970,2410.399192,6.207796961,,,6.908622758,61.569,,3.91,2687
Costa Rica,1970,4623.012974,7.503134343,,,4.652297493,65.361,,3.94,0
Cuba,1970,2606.719691,,,,,68.398,,5.3,2750
Cyprus,1970,,,,,2.40018825,68.927,,5.88,4312
Denmark,1970,26927.95904,1.596841805,,,6.514841417,73.34341463,,6.78,0
Algeria,1970,2483.445445,8.86265711,,,6.599999999,43.16,,1.55,0
Ecuador,1970,2810.64323,6.87192933,,,5.17127612,57.152,,4.42,6562
Spain,1970,11436.03312,4.289182957,,2002.510415,5.731144843,72.02731707,,5.59,4875
Finland,1970,17128.63075,4.813736796,,,2.740420431,70.1795122,,5.73,250
Fiji,1970,2697.40889,12.70271113,,,4.124178563,61.713,,5.57,0
France,1970,17605.63897,6.108679813,37.1,,5.299641246,71.65853659,,4.75,6687
Gabon,1970,5515.177414,8.679342176,,,3.812664908,52.555,,1.82,0
United Kingdom,1970,19284.48692,4.308885985,28.0,,6.366568417,71.97317073,,7.91,2750
Ghana,1970,1159.638305,9.723472587,,,3.030303031,47.805,,3.06,250
Greece,1970,10726.71543,8.56477754,,,2.841670679,72.77080488,,6.52,4000
Guatemala,1970,2398.718594,5.707883598,,,2.344339349,49.439,,1.72,11750
Guyana,1970,3119.135607,4.255456893,,,,60.469,,5.66,0
Honduras,1970,1423.992853,3.62672094,,,2.880886427,54.44,,2.33,250
Haiti,1970,1549.119432,0.651153708,,,1.368493407,47.337,,1.18,3687
Hungary,1970,,,,,,69.16463415,,8.08,0
Indonesia,1970,670.1360337,7.554634515,,,12.39946465,52.992,,2.84,1000
India,1970,361.4861218,5.157229737,,,5.09226162,48.241,,1.61,11000
Ireland,1970,12100.73159,,,,8.207190161,70.90156098,,7.67,1250
Iraq,1970,1289.328883,4.544357067,,,4.355595265,60.186,,1.43,3625
Iceland,1970,,,,,13.37247515,73.93390244,,7.01,0
Israel,1970,,,,,6.110742036,71.21341463,,8.66,2000
Italy,1970,15736.18363,5.268692979,,,4.968319873,71.55878049,,5.63,5000
Jamaica,1970,4812.562072,12.06440904,,,14.7280042,66.702,,4.86,0
Jordan,1970,,,,,5.899999999,59.87,,3.47,26125
Japan,1970,14114.31582,2.454958384,,,6.924173835,71.9197561,,7.83,375
Kenya,1970,824.2403319,-4.655446916,,,2.188527039,53.575,,2.17,0
Cambodia,1970,,,,,,39.129,,1.82,51625
Kuwait,1970,,,,,,66.53,,3.27,0
Liberia,1970,,,,,,40.599,,1.15,0
Sri Lanka,1970,790.7999592,3.846629857,,,5.866956078,65.267,,6.38,625
Lesotho,1970,310.2667207,2.177071169,,,,51.012,,3.55,4875
Luxembourg,1970,35513.80099,11.09445281,,,4.639353444,69.59321951,,6.21,0
Morocco,1970,1029.484741,4.713460376,,,1.279181324,48.807,,0.98,250
Maldives,1970,,,,,,45.068,,4.02,0
Mexico,1970,5835.13102,6.502484035,,,5.003412055,60.69,,3.39,250
Mali,1970,359.2371061,6.136954863,,,,32.532,,0.29,0
Malta,1970,3135.285472,,,,3.715658848,69.06556098,,5.82,250
Mongolia,1970,,,,,,52.678,,3.56,0
Mauritania,1970,1801.726935,11.98593115,,,,51.038,,1.66,0
Mauritius,1970,,,,,1.541865943,61.00036585,,4.93,0
Malawi,1970,322.7075608,0.479297978,,,,36.731,,1.57,0
Malaysia,1970,1832.258725,5.98653863,,,1.843935966,63.111,,4.2,6250
Niger,1970,734.0142362,3.055778922,,,1.117838845,36.062,,0.44,0
Nicaragua,1970,2376.803107,1.35382659,,,,54.95,,3.03,0
Netherlands,1970,21362.84766,6.140181648,,,3.668930888,73.58560976,,8.2,250
Norway,1970,26735.83041,2.344780828,,,10.63720653,74.08804878,,8.32,250
Nepal,1970,338.5348344,2.575992127,,,15.23727845,42.827,,0.5,0
New Zealand,1970,,,,,6.517181052,71.27317073,,10.93,250
Pakistan,1970,640.9175865,11.35346172,,,5.34984091,54.76,,1.58,1625
Panama,1970,4357.457066,6.959226108,,,3.083294984,65.083,,5.21,312
Peru,1970,3389.141331,3.365946003,,,5.025235901,47.16,,4.36,500
Philippines,1970,1355.372201,3.692487487,,,14.38146168,61.692,,4.71,8375
Poland,1970,,,,,,69.86829268,,7.35,2625
Portugal,1970,7658.74429,12.61260546,,,6.38014449,67.07317073,,2.93,5562
Paraguay,1970,1940.184144,5.553425733,,,-0.859556021,62.684,,4.14,250
Romania,1970,,,,,,67.48241463,,6.7,250
Rwanda,1970,337.4152395,6.001425247,,,0.514885808,47.153,,1.16,0
Saudi Arabia,1970,20457.64113,58.64733065,,,0.177777778,52.715,,3.22,0
Sudan,1970,1267.748047,5.925074716,,,4.02779565,45.534,,0.73,9000
Senegal,1970,1063.996691,8.562045515,,,2.810248199,40.825,,2.29,0
Singapore,1970,6997.199029,13.942003,,,0.463352991,68.91312195,,5.2,2750
Sierra Leone,1970,623.8725906,8.62049324,,,,38.793,,0.84,312
El Salvador,1970,2897.824941,2.977295093,,,2.817853922,51.41,,2.83,0
Sweden,1970,24388.29821,7.28920626,,,7.016358851,74.64926829,,8.45,250
Togo,1970,760.0629908,2.524302645,,,4.480620155,46.12,,0.85,1875
Thailand,1970,973.9183257,11.40794907,,,-0.088041086,57.711,,2.51,6875
Tonga,1970,,,,,,63.232,,7.09,0
Trinidad and Tobago,1970,5842.377429,3.533635678,,,2.523900574,65.057,,6.4,4125
Tunisia,1970,1206.97075,4.669631773,,,,53.87,,1.79,250
Uganda,1970,,,,,,49.616,,1.52,1000
Uruguay,1970,6896.110953,2.333213381,,,16.30614494,68.904,,5.7,5000
South Africa,1970,5115.283567,5.248661431,,,4.991877117,55.579,,4.61,1500
Zambia,1970,1258.313938,4.797112903,,,,51.493,,2.98,0
Zimbabwe,1970,1529.055965,22.56515084,,,,57.032,,3.01,3125
Afghanistan,1975,,,,,,40.1,,0.92,0
Albania,1975,,,,,,68.328,,5.35,0
United Arab Emirates,1975,105688.0871,,,,,65.08,,2.99,0
Argentina,1975,9935.938635,-0.028412104,,,,67.081,,6.85,8937
Australia,1975,28257.95551,1.336442809,,,15.16245487,72.62536585,,10.52,500
Austria,1975,21629.0463,-0.363735434,,,8.445258639,71.11463415,,7.7,0
Burundi,1975,336.2171918,0.697920236,,,15.7098746,42.982,,1.28,0
Belgium,1975,20997.20683,-1.965941566,,,12.76819859,71.97121951,,8.03,0
Benin,1975,698.4851507,-4.895345447,,,,44.681,,0.94,1875
Bangladesh,1975,388.8845857,-4.088214092,,,,50.292,,1.57,3937
Bulgaria,1975,,,,,,71.0497561,,7.07,0
Bahrain,1975,,,,,16.15978212,68.466,,4.02,0
Bolivia,1975,2085.031682,7.311017731,,,7.976746025,48.826,,4.6,250
Brazil,1975,5097.708332,5.166649084,,,,59.353,,2.9,0
Barbados,1975,11321.75328,-1.900000001,,,20.29446876,69.921,,7.65,0
Botswana,1975,1449.496291,8.446250381,,,11.97475502,57.998,,2.74,0
Central African Republic,1975,571.6697629,0.404987104,,,,47.913,,1.15,0
Canada,1975,,,34.1,,10.6721886,73.52170732,,9.7,250
Switzerland,1975,,,,,6.696595225,74.66560976,,10.34,0
Chile,1975,3499.085565,-12.91210105,,,374.7352742,66.279,,6.57,312
China,1975,337.344119,8.719999998,,,,60.917,,4.48,750
Cameroon,1975,1102.132116,11.24505878,,,13.55332941,49.718,,2.42,0
Colombia,1975,2836.5515,2.323255281,,,23.43750257,64.27,,4.36,2000
Costa Rica,1975,5446.368574,2.100071049,,,17.36920202,69.4,,5.15,0
Cuba,1975,3163.012111,9.476426069,,,,71.079,,6.23,0
Cyprus,1975,6172.914551,,,,4.63948584,70.518,,6.68,125
Denmark,1975,28480.35548,-1.456644936,,,9.605612075,74.07512195,,7.46,0
Algeria,1975,2885.756037,5.045341613,,,8.230316653,46.972,,2.11,250
Ecuador,1975,3832.383151,10.972154,,,14.28967429,60.232,,4.92,1875
Spain,1975,14009.77548,0.542203214,,,16.95328593,73.31878049,,5.91,5500
Finland,1975,20764.33697,1.804898277,,,17.81139723,71.67365854,,6.74,250
Fiji,1975,3269.263393,0.530211189,,,13.06488098,61.852,,6.25,0
France,1975,20498.34808,-0.959884746,35.9,,11.68592725,72.85365854,,5.76,2812
Gabon,1975,11165.45181,19.19011491,,,28.45294264,55.035,,2.6,0
United Kingdom,1975,21098.37436,-1.473649486,27.9,,24.20728767,72.72439024,,8.25,3437
Ghana,1975,994.1550192,-12.43162902,,,29.8245614,49.246,,3.86,0
