Country,Year,FDI,Imports,Exports,Aid,ME,PI
Cambodia,2007,867288538.6,72.94217882,65.32596805,10.95161145,0.91,0
Kuwait,2007,111535690.2,28.31746499,63.4150384,,3.59,0
Lebanon,2007,3375980758.0,60.82619096,37.141517,4.110051195,4.63,1562
Liberia,2007,131637661.6,,,58.36364692,0.31,0
Libya,2007,4689000000.0,29.2998376,73.4324779,0.085036472,0.95,0
Sri Lanka,2007,603000000.0,39.49151197,29.11499969,3.731138708,3.26,3125
Lesotho,2007,75616001.72,111.8001888,53.24876002,6.582048486,2.37,0
Lithuania,2007,2601486958.0,64.7461763,51.64121163,,1.11,0
Luxembourg,2007,-29679425810.0,137.9083146,169.5767055,,0.5,0
Latvia,2007,2713412662.0,57.31169394,38.26159157,,1.55,375
Morocco,2007,2825801376.0,39.92187297,31.42777381,3.72448493,3.05,3125
Moldova,2007,536020000.0,97.14006551,45.58047352,6.201105504,0.52,0
Madagascar,2007,789389724.1,38.90652821,27.79620714,25.34103628,0.96,0
Mexico,2007,31019438729.0,28.47746307,26.78106133,0.032983918,0.4,1563
Mali,2007,206337322.6,32.49763509,24.15211115,34.15524414,1.36,0
Malta,2007,35591477412.0,133.0727454,129.2443126,,0.62,0
Montenegro,2007,937357714.7,85.74314796,43.00301064,3.228721134,1.74,0
Mongolia,2007,372759900.0,58.26597799,59.61444843,8.099809242,1.05,0
Mozambique,2007,416689348.4,,,40.08656832,0.67,0
Mauritania,2007,139372822.3,45.54089388,40.5231618,,,0
Mauritius,2007,340763853.7,65.00895338,55.86749787,1.189523031,0.14,0
Malawi,2007,124388649.1,,,47.36333376,0.76,0
Malaysia,2007,9071369835.0,86.29723149,106.1682749,0.110729106,1.96,0
Namibia,2007,669182903.4,55.12410273,49.85520103,5.460922462,2.61,0
Niger,2007,99073671.93,22.4362643,13.06653855,42.79551257,,0
Nigeria,2007,6036021405.0,,,3.213017098,0.37,250
Nicaragua,2007,381700000.0,59.96129974,33.06389193,15.51115808,0.53,125
Netherlands,2007,733827000000.0,61.68241355,68.77545747,,1.35,0
Norway,2007,24806091103.0,28.98447318,42.95755313,,1.46,0
Nepal,2007,5741706.053,31.72361014,12.85566488,14.88121611,1.55,125
New Zealand,2007,4335506076.0,29.15204663,29.27311395,,1.18,0
Oman,2007,3332119636.0,46.18964443,62.68214104,0.955090411,6.72,0
Pakistan,2007,5590000000.0,19.16280425,11.6250762,4.694073611,3.51,3000
Panama,2007,2224000000.0,78.11190994,71.45854287,-0.675853078,,0
Peru,2007,5490961307.0,24.16599675,31.52211653,0.957568686,1.3,3125
Philippines,2007,2918724841.0,35.63079365,38.01418634,1.059240164,1.29,6562
Papua New Guinea,2007,130634896.8,,,6.221592073,0.41,0
Poland,2007,25031000000.0,42.31516756,38.51628789,,2.0,125
Portugal,2007,6014642427.0,38.75193301,31.19418457,,1.38,125
Paraguay,2007,105000000.0,35.62620826,43.37492916,1.5951216,0.74,0
Qatar,2007,4700000000.0,35.83673385,60.27737186,,1.96,0
Romania,2007,10103086514.0,38.79432762,24.71082905,,1.49,0
Rwanda,2007,82283165.8,22.3018484,13.66700876,,1.37,0
Saudi Arabia,2007,24318560000.0,34.9258708,59.93742956,-0.084925805,8.53,0
Sudan,2007,1504379838.0,17.50280204,16.90053412,15.19946535,4.08,0
Senegal,2007,351458732.4,38.71691613,20.55438823,15.22588785,1.38,0
Singapore,2007,47337947783.0,181.5090782,212.7793937,,3.6,0
Sierra Leone,2007,95470171.32,25.06121886,15.83702631,86.37748369,1.35,0
El Salvador,2007,1550510000.0,52.05402149,25.56703455,1.117841689,0.97,0
Somalia,2007,141000000.0,,,,,3750
Serbia,2007,4423192680.0,48.31537049,27.28982477,3.611307498,2.25,0
Slovenia,2007,1884506373.0,69.22807664,67.89907159,,1.44,0
Sweden,2007,46143507533.0,41.55182187,47.61026035,,1.3,0
Seychelles,2007,175923646.5,88.08473647,86.84372633,0.594282067,1.47,0
Chad,2007,-321654999.9,40.22753001,44.50349386,,4.49,125
Togo,2007,62406802.63,37.15199387,24.62207824,8.327711459,,0
Thailand,2007,8633903441.0,61.00095182,68.87227517,-0.173594402,1.34,0
Tajikistan,2007,359967400.0,99.66886383,45.85923589,6.165176748,,0
Turkmenistan,2007,856000000.0,19.5,36.77777778,,,0
Trinidad and Tobago,2007,830000000.0,,,0.220527233,0.57,0
Tunisia,2007,1515345044.0,52.981179,51.07822198,1.415671236,1.26,0
Tanzania,2007,581511807.0,28.22776919,19.83062559,42.37562528,0.76,0
Uganda,2007,792305780.9,30.05234812,16.72506853,40.76184868,1.39,1875
Ukraine,2007,10193000000.0,46.75664953,41.28991114,0.569985663,2.47,0
Uruguay,2007,1358736506.0,30.11996059,29.09048725,0.453015124,1.78,625
Uzbekistan,2007,667503821.4,34.74326357,39.67092941,1.90468205,,0
South Africa,2007,6586792253.0,29.16617474,27.95896439,0.697227056,1.06,0
Zambia,2007,1323900000.0,32.18026549,33.59119321,17.13602472,2.06,0
Zimbabwe,2007,68900000.0,46.38753113,37.7853733,,,0
Afghanistan,2008,46033740.0,,,124.2116561,2.34,3562
Angola,2008,1678971010.0,48.88967965,72.4750288,0.644483286,3.57,0
Albania,2008,1247181714.0,52.14933338,25.30241812,5.105021874,1.98,0
United Arab Emirates,2008,5062972005.0,69.64565532,78.8678887,,3.67,0
Argentina,2008,9725553130.0,18.341773,22.06090038,0.150804799,0.76,625
Armenia,2008,943733059.5,40.27659839,14.26572957,5.369587307,3.4,250
Australia,2008,45160024271.0,22.69789909,20.14887732,,1.8,0
Austria,2008,6301143682.0,48.82482212,53.24886062,,0.87,250
Azerbaijan,2008,3986807000.0,23.46675902,65.77613785,1.317770911,3.29,0
Burundi,2008,3833208.348,36.69999932,10.50000026,85.39656267,2.72,1875
