Year,Country,Gov,BC,PI,RPE,PR,CL,Urban,Fertility
2005,El Salvador,7.0,0.0,87.4,0.9106,2.0,2.0,60.0116,2.8294
2010,El Salvador,7.2,0.0,0.0,1.1832,2.0,2.0,62.971399999999996,2.347
2000,Equatorial Guinea,-5.8,0.0,437.4,0.16240000000000002,7.0,7.0,43.908,5.9328
2005,Equatorial Guinea,-6.0,0.0,675.0,0.31120000000000003,6.8,6.8,52.5674,5.7286
2010,Equatorial Guinea,-6.0,0.0,625.0,0.36039999999999994,7.0,7.0,61.0748,5.4282
2000,Eritrea,-6.0,8.2,0.0,0.4648,6.2,6.2,24.1066,5.7344
2005,Eritrea,-6.8,6.8,62.4,1.0228,7.0,7.0,28.3582,5.223
2010,Eritrea,-7.0,5.6,0.0,0.9822,7.0,7.0,32.9504,4.804
2000,Estonia,6.2,2.4,50.0,1.1762000000000001,1.2,1.2,69.922,1.33
2005,Estonia,9.0,4.0,87.4,1.0522,1.0,1.0,69.1154,1.3760000000000001
2010,Estonia,9.0,2.2,0.0,1.0322,1.0,1.0,68.479,1.6420000000000001
2000,Ethiopia,1.0,13.0,237.4,1.129,4.2,4.2,14.1882,6.836
2005,Ethiopia,1.0,11.6,1650.0,1.0744,5.0,5.0,15.119800000000001,6.3488
2010,Ethiopia,-3.0,12.0,188.0,0.8926000000000001,5.0,5.0,16.226999999999997,5.7054
2000,Fiji,5.8,0.0,550.0,1.4324,3.6,3.6,46.629599999999996,3.186
2005,Fiji,-13.4,0.0,425.0,1.3616,4.4,4.4,48.6928,2.9762
2010,Fiji,-1.8,0.0,0.0,1.4407999999999999,5.6,5.6,50.7192,2.8693999999999997
2000,Finland,10.0,2.4,0.0,1.4572,1.0,1.0,81.46099999999998,1.754
2005,Finland,10.0,4.0,0.0,1.339,1.0,1.0,82.4928,1.748
2010,Finland,10.0,2.2,104.0,1.2358,1.0,1.0,83.16760000000001,1.8359999999999999
2000,France,10.0,0.0,549.8,1.4382,1.0,1.0,75.255,1.77
2005,France,10.0,0.0,649.8,1.3644,1.0,1.0,76.37859999999999,1.8960000000000001
2010,France,10.0,0.0,541.6666666666666,1.3276,1.0,1.0,77.6226,1.986
2000,Gabon,-4.0,1.8,0.0,0.9036,5.0,5.0,76.46979999999999,4.6722
2005,Gabon,-4.0,0.4,0.0,0.9426,5.0,5.0,80.34819999999999,4.3594
2010,Gabon,-2.6,0.0,146.0,0.8719999999999999,6.0,6.0,83.723,4.1556
2000,Georgia,4.0,7.2,3174.8,0.748,3.4,3.4,53.36,1.7406
2005,Georgia,2.8,4.2,1624.8,1.0230000000000001,3.8,3.8,52.705,1.5752000000000002
2010,Georgia,6.0,3.2,127.0,1.5118,3.6,3.6,54.37819999999999,1.7078
2000,Germany,10.0,0.0,25.0,1.1789999999999998,1.0,1.0,74.3412,1.324
2005,Germany,10.0,0.0,87.4,1.1058,1.0,1.0,75.373,1.354
2010,Germany,10.0,0.0,197.0,1.0695999999999999,1.0,1.0,76.37660000000001,1.356
2000,Ghana,1.4,0.0,0.0,0.5094000000000001,3.2,3.2,41.6584,4.9074
2005,Ghana,5.6,2.0,50.0,0.6188,2.0,2.0,45.2772,4.7058
2010,Ghana,8.0,0.4,0.0,0.7482,1.0,1.0,48.669399999999996,4.3438
2000,Greece,10.0,3.4,112.4,0.7263999999999999,1.0,1.0,72.3582,1.256
2005,Greece,10.0,0.2,649.8,0.7312000000000001,1.0,1.0,73.33879999999999,1.276
2010,Greece,10.0,1.0,3064.0,0.688,1.0,1.0,75.1956,1.4300000000000002
2000,Guatemala,7.0,0.6,300.0,0.7896,3.2,3.2,44.324,4.9012
2005,Guatemala,8.0,0.0,237.4,0.8548,3.6,3.6,45.9878,4.368
2010,Guatemala,8.0,2.4,250.0,0.8055999999999999,3.4,3.4,47.5084,3.7142000000000004
2000,Guinea,-1.0,7.4,149.8,0.8782,6.0,6.0,30.043,6.1662
2005,Guinea,-1.0,4.0,1399.6,0.7176,6.0,6.0,31.4216,5.807
2010,Guinea,-1.0,0.4,251.0,0.8768,6.4,6.4,32.823,5.608
2000,Guinea-Bissau,-31.8,1.0,800.0,0.33659999999999995,3.0,3.0,35.116,5.9926
2005,Guinea-Bissau,2.6,0.4,1537.4,0.3914,4.4,4.4,37.0056,5.6056
2010,Guinea-Bissau,6.0,0.0,1437.6666666666667,0.4732,3.8,3.8,38.9354,5.3392
2000,Guyana,6.0,0.0,174.8,0.9048,2.0,2.0,28.9594,3.058
2005,Guyana,6.0,0.0,124.8,0.9102,2.0,2.0,28.4378,2.9554
2010,Guyana,6.0,0.0,0.0,1.1092,2.2,2.2,27.3442,2.7588
2000,Haiti,-12.2,0.0,3224.8,0.465,4.6,4.6,33.79260000000001,4.6686
2005,Haiti,-19.2,0.0,1062.2,0.4772,6.2,6.2,38.822,4.148000000000001
2010,Haiti,-13.6,0.0,375.3333333333333,0.5902000000000001,4.6,4.6,44.57899999999999,3.6572000000000005
2000,Honduras,6.2,2.0,62.4,1.0038,2.6,2.6,43.9452,4.5466
2005,Honduras,7.0,0.0,525.0,1.0038,3.0,3.0,46.6452,3.9566000000000003
